,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,,44,45,46,47,48,49,50,51,52,53,54,55,56,57,,,,,,,,,,,,
No.,TYPE,AISC_MANUAL_LABEL,EDI_STD_NOMENCLATURE,Perfil Base-1,Perfil Base-2,IMCA-01,IMCA-02,AHMSA,Disp.,No.,T_F,BF_2TF,B_T,H_TW,H_T,D_T,H,TAN_ALPHA,QS,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,K1,X,Y,E0,XP,YP,RX,RY,RZ,RO,A,Aw,WNO,ZX,SX,ZY,SY,C,QF,QW,IX,IY,J,SW,CW,W,Disp. 01,Disp. 02,Disp. 03,Disp. 04,Disp. 05,Disp. 06,Cntc 01,Cntc 02,Cntc 03,Cntc 04,Cntc 05,Cntc 06
22,W,W40X264,W40X264,,,,,IPR40X12X264,"(,,Vllcro,,,)",22,F,3.45,0.00,35.6,0.00,0.00,0.00,0.00,0.00,40.0,0,0,11.9,0,0,0.960,1.73,0,0,0.00,2.91,3,1.6875,0.00,0.00,0.00,0.00,0.00,15.8,2.52,0.00,0.00,77.6,38.4,114,1130,971,132,82.6,0.00,182,555,19400,493,56.1,589,181000,264,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
23,W,W40X235,W40X235,,,,,IPR40X12X235,"(,,Vllcro,,,)",23,F,3.77,0.00,41.2,0.00,0.00,0.00,0.00,0.00,39.7,0,0,11.9,0,0,0.830,1.58,0,0,0.00,2.76,2.875,1.625,0.00,0.00,0.00,0.00,0.00,15.9,2.54,0.00,0.00,69.0,33.0,113,1010,875,118,74.6,0.00,166,495,17400,444,41.3,530,161000,235,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
24,W,W40X211,W40X211,,,,,IPR40X12X211,"(,,Vllcro,,,)",24,F,4.17,0.00,45.6,0.00,0.00,0.00,0.00,0.00,39.4,0,0,11.8,0,0,0.750,1.42,0,0,0.00,2.60,2.6875,1.5625,0.00,0.00,0.00,0.00,0.00,15.8,2.51,0.00,0.00,62.0,29.6,112,906,786,105,66.1,0.00,148,442,15500,390,30.4,468,141000,211,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
25,W,W40X183,W40X183,,,,,IPR40X12X183,"(,,Vllcro,,,)",25,F,4.92,0.00,52.6,0.00,0.00,0.00,0.00,0.00,39.0,0,0,11.8,0,0,0.650,1.20,0,0,0.00,2.38,2.5,1.5625,0.00,0.00,0.00,0.00,0.00,15.7,2.49,0.00,0.00,53.3,25.4,112,774,675,88.3,56.0,0.00,126,376,13200,331,19.3,395,118000,183,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
26,W,W40X167,W40X167,,,,,IPR40X12X167,"(,,Vllcro,,,)",26,F,5.76,0.00,52.6,0.00,0.00,0.00,0.00,0.00,38.6,0,0,11.8,0,0,0.650,1.03,0,0,0.00,2.21,2.3125,1.5625,0.00,0.00,0.00,0.00,0.00,15.3,2.40,0.00,0.00,49.2,25.1,111,693,600,76.0,47.9,0.00,107,336,11600,283,14.0,336,99700,167,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
27,W,W40X149,W40X149,,,,,IPR40X12X149,"(,,Vllcro,,,)",27,F,7.11,0.00,54.3,0.00,0.00,0.00,0.00,0.00,38.2,0,0,11.8,0,0,0.630,0.830,0,0,0.00,2.01,2.125,1.5,0.00,0.00,0.00,0.00,0.00,15.0,2.29,0.00,0.00,43.8,24.1,110,598,513,62.2,38.8,0.00,86.7,288,9800,229,9.36,270,80000,149,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
28,W,W36X800,W36X800,,,,,,"(,,,,,)",28,T,2.10,0.00,13.5,0.00,0.00,0.00,0.00,0.00,42.6,0,0,18.0,0,0,2.38,4.29,0,0,0.00,5.24,5.5625,2.375,0.00,0.00,0.00,0.00,0.00,16.6,4.22,0.00,0.00,236,101.4,172,3650,3040,743,467,0.00,641,1820,64700,4200,1060,3320,1540000,800,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
29,W,W36X652,W36X652,,,,,,"(,,,,,)",29,T,2.48,0.00,16.3,0.00,0.00,0.00,0.00,0.00,41.1,0,0,17.6,0,0,1.97,3.54,0,0,0.00,4.49,4.8125,2.1875,0.00,0.00,0.00,0.00,0.00,16.2,4.10,0.00,0.00,192,81.0,165,2910,2460,581,367,0.00,518,1450,50600,3230,593,2560,1130000,652,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
30,W,W36X529,W36X529,,,,,,"(,,,,,)",30,T,2.96,0.00,19.9,0.00,0.00,0.00,0.00,0.00,39.8,0,0,17.2,0,0,1.61,2.91,0,0,0.00,3.86,4.1875,2,0.00,0.00,0.00,0.00,0.00,16.0,4.00,0.00,0.00,156,64.1,159,2330,1990,454,289,0.00,419,1160,39600,2490,327,1990,846000,529,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
31,W,W36X487,W36X487,,,,,,"(,,,,,)",31,T,3.19,0.00,21.4,0.00,0.00,0.00,0.00,0.00,39.3,0,0,17.1,0,0,1.50,2.68,0,0,0.00,3.63,4,1.875,0.00,0.00,0.00,0.00,0.00,15.8,3.96,0.00,0.00,143,59.0,157,2130,1830,412,263,0.00,383,1060,36000,2250,258,1800,754000,487,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
